Company,Start Price,End Price,Final Value,Return %
BEL,185.05,387.2,209240.75,109.24
ETERNAL,124.5,251.1,201686.75,101.69
TRENT,3000.2,5625.5,187504.17,87.5
BHARTIARTL,1013.05,1844.05,182029.51,82.03
SHRIRAMFIN,409.55,667.95,163093.64,63.09
ICICIBANK,1001.25,1425.3,142352.06,42.35
ADANIPORTS,1048.05,1444.35,137813.08,37.81
SUNPHARMA,1259.9,1687.0,133899.52,33.9
EICHERMOT,4035.3,5314.7,131705.2,31.71
TECHM,1247.3,1614.2,129415.54,29.42
BAJFINANCE,729.85,936.4,128300.34,28.3
GRASIM,2117.85,2688.25,126932.97,26.93
JIOFIN,234.6,295.8,126086.96,26.09
SBIN,641.95,805.65,125500.43,25.5
ONGC,200.35,247.8,123683.55,23.68
SBILIFE,1430.55,1766.05,123452.52,23.45
APOLLOHOSP,5748.0,6994.55,121686.67,21.69
POWERGRID,237.75,288.8,121472.13,21.47
BAJAJFINSV,1674.25,2027.0,121069.14,21.07
MARUTI,10281.75,12382.3,120429.89,20.43
CIPLA,1251.05,1502.1,120067.14,20.07
DRREDDY,1163.8,1363.15,117129.23,17.13
HDFCLIFE,648.7,754.5,116309.54,16.31
HCLTECH,1483.15,1702.1,114762.5,14.76
TATASTEEL,133.2,152.85,114752.25,14.75
HDFCBANK,1700.65,1941.95,114188.69,14.19
JSWSTEEL,877.35,995.85,113506.58,13.51
HEROMOTOCO,3917.3,4361.15,111330.51,11.33
KOTAKBANK,1910.9,2126.0,111256.48,11.26
RELIANCE,1294.9,1439.6,111174.61,11.17
WIPRO,234.0,259.45,110876.07,10.88
AXISBANK,1098.05,1212.7,110441.24,10.44
ULTRACEMCO,10461.3,11315.05,108161.03,8.16
NTPC,309.5,333.45,107738.29,7.74
HINDALCO,609.2,651.0,106861.46,6.86
COALINDIA,368.25,392.6,106612.36,6.61
ITC,404.1,420.95,104169.76,4.17
INFY,1551.25,1607.4,103619.66,3.62
LT,3522.35,3603.65,102308.12,2.31
TATACONSUM,1066.6,1084.1,101640.73,1.64
TITAN,3675.05,3451.55,93918.45,-6.08
TATAMOTORS,790.5,715.0,90449.08,-9.55
TCS,3810.6,3433.95,90115.73,-9.88
HINDUNILVR,2655.7,2334.35,87899.61,-12.1
NESTLEIND,2736.55,2387.2,87233.93,-12.77
ADANIENT,2916.9,2541.15,87118.17,-12.88
ASIANPAINT,3394.55,2218.05,65341.5,-34.66
INDUSINDBK,1600.3,829.75,51849.65,-48.15
